SentID,Sentence,Lesson
1,こんにちは。,Lesson 1
2,私は学生です。,Lesson 1
3,これは私の本です。,Lesson 2
4,すみません、それはいくらですか？,Lesson 2
5,私は昨日図書館に行きました。,Lesson 3
6,今日、映画を見ます。,Lesson 3
7,コーヒーを飲みませんか？,Lesson 3
8,どこで昼ごはんを食べましたか？,Lesson 4
9,週末に友達と遊びました。,Lesson 4
10,このバスはどこに行きますか？,Lesson 4
11,今、勉強しています。,Lesson 5
12,彼女は髪が長いです。,Lesson 5
13,私は泳ぐのが好きです。,Lesson 5
14,明日は天気がいいでしょう。,Lesson 6
15,すぐに薬を飲んだほうがいいですよ。,Lesson 6
16,先生に聞いたほうがいいですよ。,Lesson 6
17,コンビニでおにぎりを買いました。,Lesson 7
18,私は日本の文化に興味があります。,Lesson 7
19,京都へ旅行に行きました。,Lesson 7
20,この映画は面白そうです。,Lesson 8
21,もう昼ごはんを食べましたか？,Lesson 8
22,昨日、友達にプレゼントをもらいました。,Lesson 8
23,私は車を持っています。,Lesson 9
24,このレストランは安くておいしいです。,Lesson 9
25,音楽を聞きながら勉強します。,Lesson 9
26,毎朝、ジョギングをします。,Lesson 10
27,この本は読みやすいです。,Lesson 10
28,友達と一緒に買い物に行きました。,Lesson 10
29,試験が終わったら、旅行に行きたいです。,Lesson 11
30,お金があったら、新しいパソコンを買います。,Lesson 11
31,夏休みにどこかへ行きましたか？,Lesson 11
32,日本語の勉強は楽しいです。,Lesson 12
33,この料理は辛すぎます。,Lesson 12
34,昨日は頭が痛かったです。,Lesson 12
35,こんにちは。,Lesson 1
36,私は学生です。,Lesson 1
37,これは私の本です。,Lesson 2
38,すみません、それはいくらですか？,Lesson 2
39,私は昨日図書館に行きました。,Lesson 3
40,今日、映画を見ます。,Lesson 3
41,コーヒーを飲みませんか？,Lesson 3
42,どこで昼ごはんを食べましたか？,Lesson 4
43,週末に友達と遊びました。,Lesson 4
44,このバスはどこに行きますか？,Lesson 4
45,今、勉強しています。,Lesson 5
46,彼女は髪が長いです。,Lesson 5
47,私は泳ぐのが好きです。,Lesson 5
48,明日は天気がいいでしょう。,Lesson 6
49,すぐに薬を飲んだほうがいいですよ。,Lesson 6
50,先生に聞いたほうがいいですよ。,Lesson 6
51,コンビニでおにぎりを買いました。,Lesson 7
52,私は日本の文化に興味があります。,Lesson 7
53,京都へ旅行に行きました。,Lesson 7
54,この映画は面白そうです。,Lesson 8
55,もう昼ごはんを食べましたか？,Lesson 8
56,昨日、友達にプレゼントをもらいました。,Lesson 8
57,私は車を持っています。,Lesson 9
58,このレストランは安くておいしいです。,Lesson 9
59,音楽を聞きながら勉強します。,Lesson 9
60,毎朝、ジョギングをします。,Lesson 10
61,この本は読みやすいです。,Lesson 10
62,友達と一緒に買い物に行きました。,Lesson 10
63,試験が終わったら、旅行に行きたいです。,Lesson 11
64,お金があったら、新しいパソコンを買います。,Lesson 11
65,夏休みにどこかへ行きましたか？,Lesson 11
66,日本語の勉強は楽しいです。,Lesson 12
67,この料理は辛すぎます。,Lesson 12
68,昨日は頭が痛かったです。,Lesson 12
69,こんにちは。,Lesson 1
70,私は学生です。,Lesson 1
71,これは私の本です。,Lesson 2
72,すみません、それはいくらですか？,Lesson 2
73,私は昨日図書館に行きました。,Lesson 3
74,今日、映画を見ます。,Lesson 3
75,コーヒーを飲みませんか？,Lesson 3
76,どこで昼ごはんを食べましたか？,Lesson 4
77,週末に友達と遊びました。,Lesson 4
78,このバスはどこに行きますか？,Lesson 4
79,今、勉強しています。,Lesson 5
80,彼女は髪が長いです。,Lesson 5
81,私は泳ぐのが好きです。,Lesson 5
82,明日は天気がいいでしょう。,Lesson 6
83,すぐに薬を飲んだほうがいいですよ。,Lesson 6
84,先生に聞いたほうがいいですよ。,Lesson 6
85,コンビニでおにぎりを買いました。,Lesson 7
86,私は日本の文化に興味があります。,Lesson 7
87,京都へ旅行に行きました。,Lesson 7
