SentID,Sentence,Proficiency Level
1,この本は、初心者向けに書かれているが、内容は意外と難しい。 [N2],N2
2,彼は大学を卒業するとともに、海外で働き始めた。 [N2],N2
3,彼の説明を聞いて、納得せざるを得なかった。 [N2],N2
4,新しい環境に慣れるには、それなりの時間がかかるものだ。 [N2],N2
5,この仕事を引き受けた以上、最後までやり遂げるつもりだ。 [N2],N2
6,試験の結果が悪かったとしても、落ち込むことはない。 [N2],N2
7,この問題は、専門家の意見を聞いてから決めるべきだ。 [N2],N2
8,彼の話し方からして、本当に困っているように思えた。 [N2],N2
9,この機会を逃したら、次はいつ来るかわからない。 [N2],N2
10,彼の考え方には賛成できないものの、一理あると思う。 [N2],N2
11,会議の途中で、彼は急用ができたとかで席を立った。 [N2],N2
12,明日の天気次第では、遠足を中止する可能性がある。 [N2],N2
13,彼女の努力は、報われるに違いない。 [N2],N2
14,この部屋は狭いわりに、家具の配置が工夫されている。 [N2],N2
15,彼のミスはあったとはいえ、責めるべきではないだろう。 [N2],N2
16,今さら謝られたところで、もうどうにもならない。 [N2],N2
17,あの映画は評判が高かっただけに、期待外れだった。 [N2],N2
18,試験の結果が悪かったことに対して、彼は驚きを隠せなかった。 [N2],N2
19,彼の提案には賛成しかねるが、考える余地はある。 [N2],N2
20,この問題に関しては、十分な検討が必要だ。 [N2],N2
21,この本は、初心者向けに書かれているが、内容は意外と難しい。 [N2],N2
22,彼は大学を卒業するとともに、海外で働き始めた。 [N2],N2
23,彼の説明を聞いて、納得せざるを得なかった。 [N2],N2
24,新しい環境に慣れるには、それなりの時間がかかるものだ。 [N2],N2
25,この仕事を引き受けた以上、最後までやり遂げるつもりだ。 [N2],N2
26,試験の結果が悪かったとしても、落ち込むことはない。 [N2],N2
27,この問題は、専門家の意見を聞いてから決めるべきだ。 [N2],N2
28,彼の話し方からして、本当に困っているように思えた。 [N2],N2
29,この機会を逃したら、次はいつ来るかわからない。 [N2],N2
30,彼の考え方には賛成できないものの、一理あると思う。 [N2],N2
31,会議の途中で、彼は急用ができたとかで席を立った。 [N2],N2
32,明日の天気次第では、遠足を中止する可能性がある。 [N2],N2
33,彼女の努力は、報われるに違いない。 [N2],N2
34,この部屋は狭いわりに、家具の配置が工夫されている。 [N2],N2
35,彼のミスはあったとはいえ、責めるべきではないだろう。 [N2],N2
36,今さら謝られたところで、もうどうにもならない。 [N2],N2
37,あの映画は評判が高かっただけに、期待外れだった。 [N2],N2
38,試験の結果が悪かったことに対して、彼は驚きを隠せなかった。 [N2],N2
39,彼の提案には賛成しかねるが、考える余地はある。 [N2],N2
40,この問題に関しては、十分な検討が必要だ。 [N2],N2
41,この本は、初心者向けに書かれているが、内容は意外と難しい。 [N2],N2
42,彼は大学を卒業するとともに、海外で働き始めた。 [N2],N2
43,彼の説明を聞いて、納得せざるを得なかった。 [N2],N2
44,新しい環境に慣れるには、それなりの時間がかかるものだ。 [N2],N2
45,この仕事を引き受けた以上、最後までやり遂げるつもりだ。 [N2],N2
46,試験の結果が悪かったとしても、落ち込むことはない。 [N2],N2
47,この問題は、専門家の意見を聞いてから決めるべきだ。 [N2],N2
48,彼の話し方からして、本当に困っているように思えた。 [N2],N2
49,この機会を逃したら、次はいつ来るかわからない。 [N2],N2
50,彼の考え方には賛成できないものの、一理あると思う。 [N2],N2
51,会議の途中で、彼は急用ができたとかで席を立った。 [N2],N2
52,明日の天気次第では、遠足を中止する可能性がある。 [N2],N2
53,彼女の努力は、報われるに違いない。 [N2],N2
54,この部屋は狭いわりに、家具の配置が工夫されている。 [N2],N2
55,彼のミスはあったとはいえ、責めるべきではないだろう。 [N2],N2
56,今さら謝られたところで、もうどうにもならない。 [N2],N2
57,あの映画は評判が高かっただけに、期待外れだった。 [N2],N2
58,試験の結果が悪かったことに対して、彼は驚きを隠せなかった。 [N2],N2
59,彼の提案には賛成しかねるが、考える余地はある。 [N2],N2
60,この問題に関しては、十分な検討が必要だ。 [N2],N2
61,この本は、初心者向けに書かれているが、内容は意外と難しい。 [N2],N2
62,彼は大学を卒業するとともに、海外で働き始めた。 [N2],N2
63,彼の説明を聞いて、納得せざるを得なかった。 [N2],N2
64,新しい環境に慣れるには、それなりの時間がかかるものだ。 [N2],N2
65,この仕事を引き受けた以上、最後までやり遂げるつもりだ。 [N2],N2
66,試験の結果が悪かったとしても、落ち込むことはない。 [N2],N2
67,この問題は、専門家の意見を聞いてから決めるべきだ。 [N2],N2
68,彼の話し方からして、本当に困っているように思えた。 [N2],N2
69,この機会を逃したら、次はいつ来るかわからない。 [N2],N2
70,彼の考え方には賛成できないものの、一理あると思う。 [N2],N2
71,会議の途中で、彼は急用ができたとかで席を立った。 [N2],N2
72,明日の天気次第では、遠足を中止する可能性がある。 [N2],N2
73,彼女の努力は、報われるに違いない。 [N2],N2
74,この部屋は狭いわりに、家具の配置が工夫されている。 [N2],N2
75,彼のミスはあったとはいえ、責めるべきではないだろう。 [N2],N2
76,今さら謝られたところで、もうどうにもならない。 [N2],N2
77,あの映画は評判が高かっただけに、期待外れだった。 [N2],N2
78,試験の結果が悪かったことに対して、彼は驚きを隠せなかった。 [N2],N2
79,彼の提案には賛成しかねるが、考える余地はある。 [N2],N2
80,この問題に関しては、十分な検討が必要だ。 [N2],N2
81,この本は、初心者向けに書かれているが、内容は意外と難しい。 [N2],N2
82,彼は大学を卒業するとともに、海外で働き始めた。 [N2],N2
83,彼の説明を聞いて、納得せざるを得なかった。 [N2],N2
